Id,String
,
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
NAME,Name
DESC,Description
TYPE,Type
VALUE,Value
COST,Cost
WEAPON,Weapon
EQUIP,Equipment
CONSUMABLE,Consumable
LOAD,LOAD
SAVE,SAVE
GETITEM,GETITEM
REMOVEITEM,REMOVEITEM
SORT_CREATION_ACSC, CREATION ACSC
SORT_CREATION_DESC, CREATION DESC
SORT_NAME_ACSC, NAME ACSC
SORT_NAME_DESC, NAME DESC
SORT_VALUE_ACSC, VALUE ACSC
SORT_VAULE_DESC, VAULE DESC
SORT_CONSUMABLE_ACSC, CONSUMABLE ACSC
SORT_CONSUMABLE_DESC, CONSUMABLE DESC
FILTER_NONE, NONE
FILTER_WEAPON, WEAPON
FILTER_EQUID, EQUID
FILTER_CONSUMABLE, CONSUMABLE
FILTER_NON_CONSUMABLE, NONCONSUMABLE
