Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
NAME,名前
DESC,説明
TYPE,タイプ
VALUE,値
COST,コスト
WEAPON,武器
EQUIP,装備
CONSUMABLE,消費品
LOAD,負荷
SAVE,保存
GETITEM,タイトル
REMOVEITEM,アイテムを削除
SORT_CREATION_ACSC, 생성순-위
SORT_CREATION_DESC, 생선순-아래
SORT_NAME_ACSC, 이름순-위
SORT_NAME_DESC, 이름순-아래
SORT_VALUE_ACSC, 밸류순-위
SORT_VAULE_DESC, 밸류순-아래
SORT_CONSUMABLE_ACSC, 코스트순-위
SORT_CONSUMABLE_DESC, 코스트순-아래
FILTER_NONE, 없음
FILTER_WEAPON, 무기
FILTER_EQUID, 장비
FILTER_CONSUMABLE, 소모품
FILTER_NON_CONSUMABLE, 비소모품
