Id,String
,
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,코스트
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
LOAD,불러오기
SAVE,저장
GETITEM,아이템저장
REMOVEITEM,아이템삭제
SORT_CREATION_ACSC, 생성순-위
SORT_CREATION_DESC, 생선순-아래
SORT_NAME_ACSC, 이름순-위
SORT_NAME_DESC, 이름순-아래
SORT_VALUE_ACSC, 밸류순-위
SORT_VAULE_DESC, 밸류순-아래
SORT_CONSUMABLE_ACSC, 코스트순-위
SORT_CONSUMABLE_DESC, 코스트순-아래
FILTER_NONE, 없음
FILTER_WEAPON, 무기
FILTER_EQUID, 장비
FILTER_CONSUMABLE, 소모품
FILTER_NON_CONSUMABLE, 비소모품
